#,City,District,Ward,address_code
227,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Xuy Xá,R80199239
228,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Đại Hưng,R80199247
229,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Đốc Tín,R80199232
230,Thành Phố Hà Nội,Huyện Mỹ Đức,Xã Đồng Tâm,R80199248
231,Thành Phố Hà Nội,Huyện Phú Xuyên,Thị Trấn Phú Minh,R80199086
232,Thành Phố Hà Nội,Huyện Phú Xuyên,Thị Trấn Phú Xuyên,R80199082
233,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Bạch Hạ,R80199060
234,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Chuyên Mỹ,R80199061
235,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Châu Can,R80199084
236,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Hoàng Long,R80199079
237,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Hồng Minh,R80199065
238,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Hồng Thái,R80199085
239,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Khai Thái,R80199076
240,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Minh Tân,R80199077
241,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Nam Phong,R80199080
242,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Nam Tiến,RVN123
243,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Nam Triều,R80199081
244,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Phú Túc,R80199070
245,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Phú Yên,R80199083
246,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Phúc Tiến,R80199066
247,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Phượng Dực,R80199087
248,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Quang Lãng,R80199067
249,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Quang Trung,R80199078
250,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Sơn Hà,R80199071
251,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Tri Thủy,R80199073
252,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Tri Trung,R80199074
253,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Tân Dân,R80199072
254,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Vân Từ,R80199063
255,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Văn Hoàng,R80199062
256,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Văn Nhân,R80199069
257,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Đại Thắng,R80199075
258,Thành Phố Hà Nội,Huyện Phú Xuyên,Xã Đại Xuyên,R80199064
259,Thành Phố Hà Nội,Huyện Phúc Thọ,Thị Trấn Phúc Thọ,R80199390
260,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Cẩm Đình,R80199381
261,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Hiệp Thuận,R80199382
262,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Hát Môn,R80199374
263,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,R80199375
264,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Long Xuyên,R80199376
265,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Ngọc Tảo,R80199389
266,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Phúc Hòa,R80199369
267,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Phụng Thượng,R80199385
268,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Sen Phương,RVN141
269,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,R80199384
270,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Tam Thuấn,R80199378
271,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Thanh Đa,R80199370
272,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Thượng Cốc,R80199372
273,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,R80199371
274,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Trạch Mỹ Lộc,R80199386
275,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Tích Giang,R80199377
276,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Vân Hà,R80199392
277,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Vân Nam,R80199379
278,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Vân Phúc,R80199380
279,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Võng Xuyên,R80199388
280,Thành Phố Hà Nội,Huyện Phúc Thọ,Xã Xuân Đình,RVN146
281,Thành Phố Hà Nội,Huyện Quốc Oai,Thị Trấn Quốc Oai,R80199268
282,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,R80199271
283,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Cộng Hòa,R80199264
284,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Hòa Thạch,R80199273
285,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Liệp Tuyết,R80199256
286,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Nghĩa Hương,R80199274
287,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,R80199267
288,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Mỹ,R80199259
289,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Phú Cát,R80199257
290,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Phú Mãn,R80199261
291,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Phượng Cách,R80199260
292,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Sài Sơn,R80199258
293,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Thạch Thán,R80199263
294,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Tuyết Nghĩa,R80199269
295,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Tân Hòa,R80199262
296,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Tân Phú,R80199254
297,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Yên Sơn,R80199270
298,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Đông Xuân,R80199255
299,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Đông Yên,R80199266
300,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Đại Thành,R80199272
301,Thành Phố Hà Nội,Huyện Quốc Oai,Xã Đồng Quang,R80199265
302,Thành Phố Hà Nội,Huyện Sóc Sơn,Thị Trấn Sóc Sơn,R80199016
303,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Phú,R80198995
304,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Bắc Sơn,R80199004
305,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Hiền Ninh,R80199010
306,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Hồng Kỳ,R80198998
307,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Kim Lũ,R80198999
308,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Mai Đình,R80199000
309,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Minh Phú,R80199001
310,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,R80199011
311,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Nam Sơn,R80198994
312,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,R80199002
313,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Phù Lỗ,R80199015
314,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Phú Cường,R80199012
315,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Phú Minh,R80199013
316,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Quang Tiến,R80199005
317,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Thanh Xuân,R80199014
318,Thành Phố Hà Nội,Huyện Sóc Sơn,Xã Tiên Dược,R80199006
